VerExpanded;All Expaned;Correct;Triple
1;1;0;wheels revolutionized grinding
1;1;0;rule driven approach
1;1;0;promises made leaders
1;1;1;deleveraging triggered crisis
1;1;1;dizziness caused injury
1;1;0;water put tank
1;1;1;virus caused pandemic
1;1;0;team prevailed brilliance
1;1;1;burns caused liquids
1;1;0;idiot pulls motion
1;1;1;flooding caused cyclone
1;1;1;Fog caused delays
1;1;0;administration established centres
1;1;0;model developed event
1;1;1;process caused stricture
1;1;1;suffering caused crisis
1;1;1;infection caused fungus
1;1;1;Tonsillitis caused micro-organisms
1;1;1;Hiccups caused spasm
1;1;0;electricity produced biomass
1;1;1;Landslides caused deaths
1;1;1;humiliation comes people
1;1;0;exhibition sustained contacts
1;1;1;visit caused sensation
1;1;1;voltage instigates reaction
1;1;1;controversy arose assignment
1;1;0;dispute concerning interpretation
1;1;0;Dioxide released atmosphere
1;1;1;abuse resulted swelling
1;1;0;fire originated area
1;1;1;harm caused quake
1;1;1;fungi cause disease
1;1;1;clashes resulted deaths
1;1;0;clashes including deaths
1;1;0;evidence came study
1;1;0;log- jam pending cases
1;1;1;bloodshed caused growth
1;1;1;anxiety caused accident
1;1;0;company eluded obligations
1;1;1;energy going source
1;1;1;acne caused cosmetics
1;1;1;light radiating face
1;1;1;noise caused resistors
1;1;0;noise biasing resistors
1;1;0;damage caused reconstruction
1;1;1;dust produces irritation
1;1;0;crisis originated sector
1;1;0;hormone produced gland
1;1;1;weight caused collapse
1;1;1;explosion triggered blast
1;1;1;sadness leads fear
1;1;1;flu include chills
1;1;1;blaze triggered fault
1;1;0;debris caused fire
1;1;1;flu cause stress
1;1;0;flu increases stress
1;1;1;accident resulted death
1;1;0;technique consists laser
1;1;0;technique heating laser
1;1;0;report supplying motives
1;1;1;Acne caused oily skin
1;1;1;dirt cause acne
1;1;1;rainbows caused refraction
1;1;1;storm caused cancellation
1;1;1;harm caused flood
1;1;0;work explored themes
1;1;1;batteries provide power
1;1;0;proclamation declares flu
1;1;0;Rumors leaked public
1;1;1;complications resulted deaths
1;1;0;pilots flown trouble
1;1;1;steam produced combustion
1;1;1;Lesions affecting hemiparesis
1;1;0;Lesions sparing hemiparesis
1;1;0;Lesions caused hemiparesis
1;1;0;transformer driven shield
1;1;0;article explores impulsivity
1;1;0;projects landing markets
1;1;1;congestion caused delays
1;1;0;term derived metaphor
1;1;0;bastard face velocity
1;1;1;plasma generated discharge
1;1;0;dust collected caisson
1;1;0;cocaine constricted pressure
1;1;0;cocaine increased pressure
1;1;1;spike caused glitch
1;1;1;outbreak caused vaccine
1;1;0;ads inform dangers
1;1;1;impact caused slit
1;1;0;effort gone development
1;1;0;bomb killed bin
1;1;1;drop caused recession
1;1;0;pandemic caused virus
1;1;0;processes ) acids
1;1;0;term originates expression
1;1;0;gases emanated sources
1;1;1;Acne caused irritants
1;1;1;Sadness leads dissatisfaction
1;1;1;sounds made species
1;1;1;system generating power
1;1;0;excerpt revolved theme
1;1;1;crash caused meteor
1;1;0;day thrown chaos
1;1;0;Swine flu leading disease
1;1;0;Lasers using wavelengths
1;1;1;devastation caused flooding
1;1;1;ticks caused discomfort
1;1;0;letter contained dispute
1;1;1;raid resulted crisis
1;1;1;scheme establishing access
1;1;1;tension caused fighting
1;1;1;stress caused battles
1;1;1;devastation caused fire
1;1;1;storm generated cold front
1;1;0;guide outlines issues
1;1;0;Scientists given warning
1;1;1;destruction caused war
1;1;1;accident caused snarl
1;1;1;injury caused person
1;1;0;words flowed curate
1;1;1;Pressure walking friction
1;1;0;world created process
1;1;1;floods caused rains
1;1;1;beam generated emission
1;1;1;devastation caused waste
1;1;0;devastation includes waste
1;1;0;Information gained test
1;1;0;producer required machinery
1;1;1;damage caused industry
1;1;0;phrase originates argument
1;1;1;disorders caused drinking
1;1;0;conference started debate
1;1;0;rain come downtown
1;1;0;statement revealed departure
1;1;0;hall fell disuse
1;1;1;devastation caused tsunami
1;1;0;power supply derived power-pack
1;1;1;coalition established activities
1;1;1;crisis caused blockade
1;1;1;blast caused mishandling
1;1;1;shortages mounting riots
1;1;0;ion derived acid
1;1;1;noise triggered quake
1;1;0;Products fallen disuse
1;1;0;lectures summarised thoughts
1;1;0;generator creates principle
1;1;0;generator using principle
1;1;1;delays caused governments
1;1;1;illness caused bacteria
1;1;0;article narrates experiences
1;1;0;system composed glands
1;1;1;tsunami resulted displacement
1;1;1;shot caused wound
1;1;0;company landed trouble
1;1;1;Acne caused hormonal imbalance
1;1;0;discussion made concept
1;1;0;teaching experience involves anecdotes
1;1;0;teaching experience telling anecdotes
1;1;1;disorders caused mutation
1;1;1;Power generated reaction
1;1;1;storm generated upwelling
1;1;0;article pointed problems
1;1;0;title derived quip
1;1;1;disaster caused hurricane
1;1;0;bomb dropped region
1;1;0;methods described publication
1;1;1;energy caused posters
1;1;0;efforts invested objective
1;1;1;explosion caused crater
1;1;1;damage caused aircraft
1;1;0;sound came structure
1;1;0;accident cause power outage
1;1;0;crisis spreading economy
1;1;1;damage caused virus
1;1;0;criticism commented weaknesses
1;1;0;life related movie
1;1;0;cow touched nuzzle
1;1;0;tools sped process
1;1;1;damage caused earthquakes
1;1;1;abscess caused infection
1;1;0;act promotes limitation
1;1;0;basin sunk depression
1;1;1;electrical short caused fire
1;1;1;events caused dissolution
1;1;1;contamination caused residues
1;1;1;Asthma causes narrowing
1;1;0;Asthma swelling narrowing
1;1;0;request arrived firm
1;1;0;air pressed lungs
1;1;1;incident caused entry
1;1;0;name originated times
1;1;1;imbalance caused torque
1;1;1;fear triggered death
1;1;0;singer demonstrates song
1;1;0;design evolved work
1;1;1;devastation caused earthquake
1;1;1;rash caused fungal imbalance
1;1;0;boys dragged fighting
1;1;0;show offers discussion
1;1;1;Tsunamis caused displacement
1;1;0;irritants cause coughing
1;1;0;speech known problems
1;1;1;decline caused collapse
1;1;0;resource documenting results
1;1;0;system contains antennas
1;1;1;announcement caused stir
1;1;0;guard scowling look
1;1;1;deformation caused filling
1;1;1;breakdown caused war
1;1;0;remark came person
1;1;1;ulcers caused infectious agent
1;1;1;inconvenience caused fence
1;1;0;sweetcorn produced cobs
1;1;1;clot caused seizure
1;1;0;population fell peak
1;1;0;data derived study
1;1;1;struggle caused disturbance
1;1;0;trio lit blaze
1;1;1;incidents resulted injuries
1;1;1;wind caused fire
1;1;0;wind catch fire
1;1;1;complication arose irradiation
1;1;0;word derived term
1;1;1;bombing resulted deaths
1;1;1;error caused tags
1;1;1;winds caused moisture
1;1;1;drag caused atmosphere
1;1;1;flooding caused clogging
1;1;0;compilation governed considerations
1;1;1;incidents resulted poisonings
1;1;0;money handed custody
1;1;0;issues addressed myth
1;1;1;sadness leads murder
1;1;1;light emanated table-lamp
1;1;0;remnants left storm
0;1;0;survivors moved houses
0;1;0;song composed musician
0;1;0;outline focuses spirituality
0;1;0;cartridge marked ink
0;1;1;treaty establishes rule
0;1;0;bottle put container
0;1;0;News programs commented violence
0;1;0;method clearing combination
0;1;0;method use combination
0;1;0;article explore use
0;1;0;comments provided readers
0;1;1;slide triggered crew
0;1;0;inspector left yard
0;1;0;father killed bar
0;1;0;student spent application
0;1;0;films portrayed mental illness
0;1;0;company addressed publication
0;1;0;tube introduced container
0;1;0;offenders absconded officers
0;1;0;cat found trap
0;1;0;organizations manage resources
0;1;0;attractions advertised billboards
0;1;0;texts relate anecdotes
0;1;0;motor built canister
0;1;0;name derived address
0;1;0;Analysts assess frequency
0;1;0;Analysts using frequency
0;1;0;posts offending writer
0;1;0;Molten core dropped river
0;1;0;person created content
0;1;0;mushroom found mass
0;1;0;thesis asserted book
0;1;1;sound made viper
0;1;0;work started end
0;1;0;investigations provided evidence
0;1;0;technique used combination
0;1;0;car achieved engine
0;1;0;book takes phases
0;1;0;song criticizes hypocrisy
0;1;0;citizen landed battles
0;1;0;topics related song
0;1;0;story alleging existence
0;1;1;hair loss caused stress
0;1;0;labor put building
0;1;0;discussion focusing violence
0;1;0;shipments arrived stock
0;1;0;doctor tells sphygmomanometer
0;1;0;liberties set laws
0;1;0;Relationships depicted series
0;1;0;player vibrating string
0;1;0;movie featured sheep
0;1;0;movie mutated sheep
0;1;0;brains removed dish
0;1;0;stories featured book
0;1;0;blazes denote trail
0;1;1;damage caused bullet
0;1;0;feet sunk floor
0;1;0;aunt put care
0;1;0;student came solution
0;1;0;first part gives techniques
0;1;0;chunks fell airplane
0;1;0;text handles material
0;1;0;associations turning receiverships
0;1;0;industries emerging economies
0;1;0;body removed coffin
0;1;0;search started scales
0;1;0;basis consisting population
0;1;0;aunt fell health
0;1;0;hand formed gestures
0;1;0;system built modules
0;1;0;lychee stirs note
0;1;0;lychee resonating note
0;1;0;answer popped riddle
0;1;0;hyperlink inserted field
0;1;0;aid flowing areas
0;1;1;streaks see particles
0;1;0;streaks caused particles
0;1;1;dust set alarm
0;1;0;types introduced sections
0;1;0;newsletter keep happenings
0;1;0;signal departs sine
0;1;0;assembly attaches cover
0;1;0;artist put can
0;1;0;oil polluting runoff
0;1;0;oil comes runoff
0;1;0;company established fireman
0;1;0;essay surveying literature
0;1;0;page explains terms
0;1;0;page used terms
0;1;0;list prepared records
0;1;0;girl journeyed danger
0;1;0;drug leaves brain
0;1;0;gas centrifuge born camp
0;1;1;pollution caused shipwreck
0;1;0;film departed fare
0;1;0;regulation governing access
0;1;0;methane migrated wells
0;1;0;batter used balls
0;1;0;topics placed categories
0;1;0;ice broke shore
0;1;0;Lymphoeytes drained lymphatics
0;1;0;paper presents review
0;1;0;display showing status
0;1;0;chapter relates attempts
0;1;0;character devised producers
0;1;0;cache stolen goods
0;1;0;shops produced clocks
0;1;0;table serves data
0;1;0;index generated package
0;1;0;index using package
0;1;1;agreements resulted diversion
0;1;0;atmospheric chemistry include acid rain
0;1;0;studies migrating inquiry
0;1;0;guy thought story
0;1;0;boom mounting fitting
0;1;0;researcher approached categories
0;1;0;researcher predetermined categories
0;1;0;show pulled slot
0;1;0;plague biting insects
0;1;0;water flowing lakes
0;1;0;insulin extracted pancreases
0;1;1;caterpillars caused disease
0;1;0;hole caused missile
0;1;0;proposals outlined speech
0;1;0;films reap filmmakers
0;1;1;perturbations caused moon
0;1;0;medal contained box
0;1;0;binder goes trials
0;1;0;books charted transformation
0;1;0;server identifies identifier
0;1;0;server using identifier
0;1;0;profiles used teachers
0;1;0;essays collected book
0;1;0;water put well
0;1;0;number applied mathematicians
0;1;0;world employs animation
0;1;0;species spreading areas
0;1;0;Twisters fill creations
0;1;0;film reveals economy
0;1;0;word descended root
0;1;0;box contained system
0;1;0;box sending system
0;1;0;name derived series
0;1;0;statutes declare policy
0;1;0;disposes designated area
0;1;0;kingdom comprises areas
0;1;0;referee enforcing game
0;1;0;clauses invented framers
0;1;0;coterie contributing editors
0;1;0;project regulate standard
0;1;1;riots triggered verdict
0;1;0;results documented films
0;1;0;program developed author
0;1;0;program based author
0;1;0;discussion presented appendix
0;1;0;founder growing agency
0;1;0;amount placed cylinder
0;1;0;polonium contained tantalum capsule
0;1;0;items arrived store
0;1;0;busloads ran contention
0;1;0;Vehicles equipped bumpers
0;1;1;acidity caused carbon dioxide
0;1;0;Proposals simplify conference
0;1;0;Proposals outlined conference
0;1;0;journalists become discussion
0;1;0;definition made standards
0;1;0;definition existing standards
0;1;0;posts imported installation
0;1;0;citations contained book
0;1;0;producer paid programs
0;1;1;illness triggered chickenpox
0;1;1;mosaicism observed mutation
0;1;0;organisms spreading areas
0;1;0;dollars put economy
0;1;0;controversy centered intelligence
0;1;0;Seminars organised area
0;1;0;members drafted ordinance
0;1;0;woman taken family
0;1;1;Methadone gives buzz
0;1;0;convention declare ownership
0;1;0;request sent moderator
0;1;0;hypothesis asserting domination
0;1;0;phrase originated e-mail
0;1;0;note explain rating
0;1;0;publication analyzes developments
0;1;0;publication interprets developments
0;1;0;sessions selected abstracts
0;1;0;virus originated bird
0;1;0;petition described oil
0;1;0;technician uses in-circuit emulator
0;1;0;dataset extracted documents
0;1;0;man relaxes testosterone
0;1;0;comment made developer
0;1;0;tool designed handles
0;1;1;variations caused stratospheric winds
0;1;0;rock built strokes
0;1;0;reservoir put operation
0;1;0;fish swim shoal
0;1;0;talk tackles challenges
0;1;0;water evaporated evaporators
0;1;0;benefits described sentence
0;1;0;biosurfactant produced oil
0;1;0;biosurfactant used oil
0;1;0;rain evaporated forest canopy
0;1;0;cerebrum made hemispheres
0;1;0;books dealing identification
0;1;0;nucleocapsids transported nuclei
0;1;0;cook stirs coals
0;1;0;dialogue covered economic impact
0;1;0;bank drawn plans
0;1;0;bureau established committee
0;1;0;script creates index
0;1;0;script defined index
0;1;0;radio informed development
0;1;0;researcher started programme
0;1;0;aircraft departed flight
0;1;0;aircraft controlled flight
0;1;0;nose lined tissue
0;1;1;monsoons caused change
0;1;0;rules regulate behavior
0;1;1;damage caused hallucinogens
0;1;0;device inserted port
0;1;0;workshop introduced tools
0;1;0;joke driven comedy
0;1;0;policy presented prevention
0;1;0;company entered research
0;1;0;people migrated areas
0;1;0;merger running opposition
0;1;0;regulation using valve
0;1;0;computer kept area
0;1;0;pages explain significance
0;1;0;plurality predetermined features
0;1;0;tree growing woods
0;1;0;sheets concerned aspects
0;1;0;squads battered shots
0;1;1;rules establish criteria
0;1;0;mother sank depression
0;1;0;chart produced study
0;1;0;history set book
0;1;0;cow produced milk
0;1;1;contractions caused prostaglandins
0;1;0;powder discovered roll
0;1;0;timers booted event
0;1;1;shifts caused gas flows
0;1;0;teacher completed book
0;1;0;declaration tackle climate change
0;1;0;book provides role
0;1;0;blank made carton
0;1;0;letter discussing teaching duties
0;1;0;Concerns regarding data protection
0;1;0;program recorded notes
0;1;0;answer came paragraph
0;1;0;officer battered ram
0;1;0;bastard peels velocity
0;1;0;copper poured molds
0;1;0;storylines narrated chapters
0;1;0;areas added spaces
0;1;1;Stimulation produced latency
0;1;0;report fulfills requirements
0;1;0;plane went dive
0;1;0;array developed group
0;1;0;forces defeated troops
0;1;0;serum pressed cheeses
0;1;0;products governed agreement
0;1;0;Goods transported countries
0;1;0;Personality includes style
0;1;0;course comprises holes
0;1;0;verbalizations focused questions
0;1;0;certificate awarded product
0;1;0;supreme court applied amendment
0;1;0;researchers produced report
0;1;0;patient placed coma
0;1;0;patient induced coma
0;1;0;documents discussed meeting
0;1;0;letter contains instructions
0;1;0;paragraphs introduce ideas
0;1;0;photograph forgotten memory
0;1;0;bait got frig
0;1;0;conference organised roundtables
0;1;0;projects investigating aspects
0;1;0;apparatus produces vessel
0;1;0;funds invested schemes
0;1;0;court achieved rule
0;1;0;court using rule
0;1;0;article extracted book
0;1;0;test added exam
0;1;0;firm reeased report
0;1;1;Joint problems caused osteoarthitis
0;1;0;lactoferrin transported blood
0;1;0;examination started head
0;1;0;photos leaked journal
0;1;0;files reveal plot
0;1;0;stone made pot
0;1;0;project assess state
0;1;0;leader handed police
0;1;0;statute declared trade
0;1;0;song crumbling group
0;1;0;word derived verb
0;1;0;motet grows idea
0;1;0;method comprises step
0;1;0;physicist came term
0;1;0;song featured character
0;1;0;song performed character
0;1;0;pilot crash-landed parking lot
0;1;0;president running bankruptcy
0;1;0;talk related tricks
0;1;0;system using rig
0;1;0;pact come effect
0;1;0;seawater make ions
0;1;0;tapir hit hoof
0;1;0;holder appears spiral
0;1;0;daughter came idea
0;1;0;ointment put eyelid
0;1;0;cocaine hidden cylinders
0;1;0;story tell conquest
0;1;0;person came brakes
0;1;0;oil pressed flour
0;1;0;nanotubes introduced cavity
0;1;1;measure gained lectures
0;1;1;closure caused backup
0;1;0;awards honour projects
0;1;0;motor using belt
0;1;0;drug put tubes
0;1;0;box cutter hollowed book
0;1;0;entrance shows building
0;1;0;speech set belief
0;1;0;talk peacekeeping operations
0;1;0;media treated mixture
0;1;0;explanation set appendix
0;1;0;workpackage comprise tasks
0;1;0;workpackage following tasks
0;1;0;deposits put account
0;1;0;tsunami missing displacement
0;1;0;egg came species
0;1;0;responsibilities handed care
0;1;0;aircraft departed airport
0;1;0;user using gestures
0;1;0;conditions spreading areas
0;1;0;speech addressing practices
0;1;0;figure illustrates results
0;1;0;notes give changes
0;1;0;appellant killed malice
0;1;0;film asserts tenacity
0;1;0;method comprises steps
0;1;0;pump employs coupling
0;1;0;flights departing airspace
0;1;0;probe generated fragment
0;1;0;probe amplified fragment
0;1;0;restaurant fallen list
0;1;0;government established agency
0;1;0;design driven studio
0;1;0;company using benchmarking
0;1;0;association assembled kits
0;1;0;films delivered viewers
0;1;0;impact investigated work
0;1;0;water poured river
0;1;0;book involves process
0;1;0;motions regarding discipline
0;1;0;money buy pocket
0;1;0;money coming pocket
0;1;0;dynamite used blasting
0;1;0;fish pushed sea
0;1;0;license issued state
0;1;0;radio wave travelling outer space
0;1;0;list generated call
0;1;0;girl finds companion
0;1;0;world enclosed egg
0;1;0;products shipped areas
0;1;0;company assembled portfolio
0;1;0;avenger killed rifle
0;1;0;episode documented video
0;1;0;generations departed future survival
0;1;0;ornaments blown molds
0;1;0;notes detailing ideas
0;1;0;applicant graduated school
0;1;0;illusion examined experiments
0;1;0;ship dissapeared harbour
0;1;0;award bestowed organization
0;1;0;officer using apparatus
0;1;0;constitution prepared leaders
0;1;0;musician treated preparation
0;1;0;students enforced violence
0;1;0;fluids enclosed cylinder
0;1;0;respondents using programs
0;1;0;study assessed evaluations
0;1;0;study using evaluations
0;1;0;fees became discussion
0;1;0;preforms blown bottles
0;1;0;acetoin distilled filtrate
0;1;0;fable illustrates progress
0;1;0;notification declares names
0;1;0;species imported country
0;1;0;press continues results
0;1;0;press digest results
0;1;0;bombs thrown cars
0;1;0;robbers ran scene
0;1;0;engineers devised method
0;1;0;parameters described text
0;1;0;medicine given patient
0;1;1;view rooted perspective
0;1;0;chapters included book
0;1;1;neuron unleashes jolt
0;1;0;rule governs use
0;1;0;wares made potter
0;1;0;author finished book
0;1;0;maternity wards sinking chaos
0;1;0;machine contains reservoir
0;1;0;industry constitutes economy
0;1;0;technical terms defined glossary section
0;1;0;claim issued quarters
0;1;0;political science revolves government
0;1;0;sweetcorn filled cobs
0;1;0;person creates couverture
0;1;0;images found reliquary
0;1;0;help arrived quarter
0;1;0;area selected pen
0;1;0;area accommodated pen
0;1;0;child killed nail
0;1;0;wainwright worked shapes
0;1;0;wainwright whittling shapes
0;1;0;wainwright lathing shapes
0;1;0;ring unleashes power
0;1;0;computer company running problems
0;1;0;name leaked article
0;1;0;women developed style
0;1;0;candidate graduated program
0;1;0;candidate approved program
0;1;0;larvae placed vial
0;1;0;figurine hidden cake
0;1;1;vacancy created retirement
0;1;0;firefighters described horror
0;1;0;polynucleotide derived species
0;1;0;observations determine kinematics
0;1;0;book made study
0;1;0;method discovered scholar
0;1;0;Skydivers dropped island
0;1;0;Brandy distilled juices
0;1;0;module imported browser
0;1;0;substance found letter
0;1;0;caveats outlined e-mail
